<li>лечение заболеваний инфекционного характера: грипп и ОРЗ, краснуха, свинка и др.</li>
</ul>
<p style=\"text-align: justify;\">Планировать визит к врачу на ранних сроках необходимо 1 раз в месяц. Начиная со второго триместра &ndash; следует участить посещения до 2 раз в месяц. За месяц до предполагаемого срока родов визит к доктору рекомендуется делать еженедельно.</p>
<h3 style=\"text-align: justify;\">Акушер-гинеколог проводит лечение следующих состояний:</h3>
<ul style=\"text-align: justify;\">
<li>заболевания инфекционной этиологии, которые передаются половым путём: хламидийная инфекция, микоплазмоз;</li>
<li>киста яичника;</li>
<li>фибромиома;</li>
<li>цервикальные полипы, эрозии и другие патологии матки;</li>
<li>воспаление маточных труб &ndash; сальпингит;</li>
<li>воспаление эндометрия;</li>
<li>эндометриоз.</li>
</ul>
<p style=\"text-align: justify;\">Основной сферой деятельности врача является отнюдь не лечение каких-либо заболеваний, а помощь женщинам в вынашивании ребёнка и родах.</p>
<h2 style=\"text-align: justify;\">Как проходит осмотр у акушера-гинеколога?</h2>
<p style=\"text-align: justify;\">В начале приёма врач внимательно выслушивает жалобы пациентки, задаёт необходимые вопросы. В ходе консультации доктор делает записи в медицинскую карту и затем проводит осмотр.</p>
<p style=\"text-align: justify;\">При установленной беременности на первом приёме врач измерит рост и вес для определения индекса массы тела и контроля набора веса. Измерение давления позволяет обнаружить чрезмерную нагрузку на сердечно-сосудистую систему, если таковая имеется. Также в специальную карту вносятся результаты измерений окружности живота, высота дна матки, размер таза. С помощью стетоскопа можно услышать сердцебиение плода, что также является методом контроля.</p>
<p style=\"text-align: justify;\">При первом посещении специалист проведёт профилактический осмотр грудных желёз женщины, а также половых органов на гинекологическом кресле с помощью зеркала и методом пальпации. На основании проведённого осмотра врач назначает лабораторные и инструментальные исследования, а также даёт рекомендации, связанные с режимом дня, рабочим графиком, приёмом пищи. Также можно задать интересующие вопросы и узнать профилактические меры по предупреждению заболеваний и возникновению патологических состояний.</p>
<h3 style=\"text-align: justify;\">Какие обследования назначает акушер-гинеколог?</h3>
<p style=\"text-align: justify;\">Доктор может назначить следующие лабораторные и инструментальные исследования:</p>
<ul style=\"text-align: justify;\">
<li>забор материала из влагалища;</li>
<li>анализ на определение инфекционных болезней, передающихся половым путём;</li>
<li>анализ на генетические заболевания и патологии, угрожающие развитию плода;</li>
<li>развёрнутый и биохимический анализ крови;</li>
<li>гормональная панель;</li>
<li>ультразвуковое исследование органов малого таза;</li>
<li>кольпоскопия шейки матки.</li>
</ul>
<p style=\"text-align: justify;\">На основании полученных анализов врач верифицирует диагноз и может оценить состояние плода и женщины.</p>
<h2><span style=\"font-weight: 400;\">Как часто нужно ходить к акушеру-гинекологу во время беременности?</span></h2>
<p><span style=\"font-weight: 400;\">Во время беременности визиты к акушеру-гинекологу должны быть регулярными. Частота посещений зависит от триместра беременности:</span><span style=\"font-weight: 400;\"><br /></span></p>
<ul>
<li style=\"font-weight: 400;\"><span style=\"font-weight: 400;\">во время первого триместра &ndash; 1 раз в месяц;</span></li>
<li style=\"font-weight: 400;\"><span style=\"font-weight: 400;\">во время второго &ndash; 1 раз в 2 недели;</span></li>
<li style=\"font-weight: 400;\"><span style=\"font-weight: 400;\">первые 2 месяца третьего триместра &ndash; 1 раз в 2 недели;</span></li>
<li style=\"font-weight: 400;\"><span style=\"font-weight: 400;\">завершающий месяц третьего триместра &ndash; 1 раз в неделю.</span></li>
</ul>
<h2 style=\"text-align: justify;\">Как записаться к врачу через интернет?</h2>
<p style=\"text-align: justify;\">Сервис DOC.UA позволяет сделать запись к врачу в онлайн-режиме. На сайте представлен перечень лучших докторов из частных клиник Киева и других городов Украины. Анкета содержит информацию о квалификации медицинского специалиста, его опыте работы, перечне услуг и стоимости приёма. Отзывы пациентов помогут сделать верный выбор. В некоторых анкетах указана возможность выезда врача на дом и стоимость подобной услуги.</p>
<p style=\"text-align: justify;\">Обратившись к нам, вы получите квалифицированную консультацию у того специалиста, которого выберете самостоятельно, основываясь на важных для вас критериях. Оставить заявку для записи к врачу с помощью DOC.UA можно круглосуточно: нужно лишь заполнить форму, и в ближайшее рабочее время операторы колл-центра перезвонят вам для согласования деталей.</p>",NULL,NULL,0,"Акушера-гинеколога","Акушеров-гинекологов","Акушеры-гинекологи",1,0,0,1,"","","Акушер-гінеколог"
4,"Аллерголог","allergolog",NULL,NULL,NULL,"<p style=\"text-align: justify;\">Аллерголог &mdash; специалист, занимающийся диагностированием, лечением, выявлением причин аллергических заболеваний. В специализацию доктора входит изучение иммунной системы организма, разработка на основе полученных данных профилактических мероприятий, позволяющих выявить аллергию на ранних этапах.</p>
<h2 style=\"text-align: justify;\">Запись к аллергологу: когда нужно идти на приём?</h2>
<p style=\"text-align: justify;\">Аллергия &ndash; коварное заболевание, которое зачастую маскируется под симптоматику обычного ОРВИ. Обратиться к врачу аллергологу необходимо в том случае, если наблюдаются такие клинические симптомы:</p>
<ul style=\"text-align: justify;\">
<li>Заложенность носа, частое чихание, ощущение зуда в носовых ходах.</li>
<li>Хронический или сезонный насморк.</li>
<li>Приступообразный кашель длительного характера без выделения мокроты.</li>
<li>Отдышка, нехватка воздуха, спазмы дыхательных органов.</li>
<li>Анафилактический шок.</li>
<li>Слезотечение, раздражение органов зрения.</li>
<li>Сыпь, покраснения на коже, непрекращающийся зуд.</li>
<li>Частые обострения хронических заболеваний.</li>
<li>Быстрая и сильная утомляемость, снижение работоспособности.</li>
<li>Постоянная и периодическая бессонница.</li>
</ul>
<p style=\"text-align: justify;\">Аллергия не терпит самолечения, поэтому при наличии указанных выше симптомов следует обязательно сделать визит к врачу. Причём совершить его желательно не с помощью онлайн консультации, которые сегодня в изобилии предлагает интернет.</p>
<h2 style=\"text-align: justify;\">Болезни, которые лечит аллерголог</h2>
<h3 style=\"text-align: justify;\">Специализация аллерголога включает лечение таких заболеваний:</h3>
<ul style=\"text-align: justify;\">
<li>аллергический риноконъюнктивит сезонного и круглогодичного типа;</li>
<li>крапивница острого и хронического характера;</li>
<li>отёк Квинке;</li>
<li>бронхиальная астма;</li>
<li>контактный дерматит;</li>
<li>обострённая реакция на укусы насекомых, медикаменты, продукты питания;</li>
<li>зуд кожных покровов непонятного происхождения;</li>
<li>поражение половых органов вирусом папилломы;</li>
<li>герпес;</li>
<li>фурункулёз, другие гнойные заболевания рецидивирующего типа;</li>
<li>микозы;</li>
<li>заболевание органов дыхания на фоне аллергической болезни;</li>
<li>урологические проблемы хронического типа;</li>
<li>синдром постоянной усталости.</li>
</ul>
<h3 style=\"text-align: justify;\">Компетенция аллерголога позволяет лечить такие органы:</h3>
<ul style=\"text-align: justify;\">
<li>Кожные покровы.</li>
<li>Глаза.</li>
<li>Органы дыхания.</li>
</ul>
<h2 style=\"text-align: justify;\">Как проходит осмотр у аллерголога?</h2>
<p style=\"text-align: justify;\">В начале приёма врач составляет анамнез болезни, для чего проводит подробный опрос пациента. Для составления общей картины болезни доктору нужно знать частотность и время возникновения симптомов, наличие или отсутствие аллергических реакций у родственников по крови.</p>
<p style=\"text-align: justify;\">Отправляясь на осмотр, будьте готовы ответить на эти и другие вопросы. Помимо этого врач может спросить об особенностях вашей рабочей деятельности, наличии хронических заболеваний, гастрономических вкусах, вредных привычках. Весь набор данных позволит доктору выявить аллерген, вызывающий заболевание. Поэтому каждый из вас должен понимать, что успех лечения в некоторой степени зависит от точности и честности предоставленных ответов.</p>
<h3 style=\"text-align: justify;\">Какие исследования назначает аллерголог?</h3>
<p style=\"text-align: justify;\">Перед посещением аллерголога рекомендуется сделать развёрнутый анализ крови. В зависимости от существующих жалоб и наблюдающейся симптоматики врач может предложить пациенту сдать ряд дополнительных анализов:</p>
<ul style=\"text-align: justify;\">
<li>Соскоб с поверхности языка, миндалин, слухового прохода.</li>
<li>Исследование кала.</li>
<li>Кровь на бак посев.</li>
<li>Соскобы с поверхности гнойничков, поражённой дермы.</li>
<li>Исследование сыворотки крови.</li>
</ul>
<p style=\"text-align: justify;\">Помимо этого может потребоваться ПЦР-диагностика, позволяющая выявить бактерию, вирус, микоплазмы вызывающие заболевание, выполнение скарификационного теста.</p>
<p style=\"text-align: justify;\">Для каждого пациента доктор составляет свой план диагностических обследований. Прохождение МРТ, КТ, рентгенографии, провокационных тестов также может потребоваться на этапе выявления причины аллергии.</p>
<p style=\"text-align: justify;\">Чтобы результаты проведённых обследований позволили получить максимально точный и правильных результат, за день до выполнения исследований нельзя принимать алкоголь, лекарственные препараты, резко менять привычный рацион питания.</p>
<p style=\"text-align: justify;\">В особо тяжёлых случаях может потребоваться проведение иммунограммы &mdash; исследования, позволяющего изучить состояние иммунной системы. Для получения необходимых результатов берётся кровь из вены или пальца, но может потребоваться и забор спинномозговой жидкости.</p>
<h2 style=\"text-align: justify;\">Детский аллерголог</h2>
<p style=\"text-align: justify;\">Аллерголог занимается лечением взрослых и детей. Симптоматика детской аллергии аналогична взрослой патологии. Разница лишь в том, что консультацию по детским заболеваниям проводит детский аллерголог.</p>
<p style=\"text-align: justify;\">При обнаружении первых признаков появления заболевания необходимо в срочном порядке обратиться к доктору. Связано это с тем, что иммунная система детского организма находится в процессе формирования. Поэтому аллергия у ребёнка может стать причиной серьёзных проблем со здоровьем и даже привести к летальному исходу.</p>
<p style=\"text-align: justify;\">В зоне риска находятся дети до года, рацион которых начинает расширяться, наполняться различными продуктами питания. Родителям при обнаружении малейших реакций после введения новых продуктов, стоит немедленно обращаться к врачу. В случае проявления аллергии сложными симптомами врача аллерголога можно вызвать на дом.</p>
<h2 style=\"text-align: justify;\">Как записаться к аллергологу быстро и удобно?</h2>
<p style=\"text-align: justify;\">Сайт DOC.UA даёт возможность каждому пользователю оперативно и без лишних сложностей записаться на приём к доктору в Киеве или другом городе Украины через интернет. На страницах портала представлены анкеты специалистов в области аллергологии и других направлениях. На страницах портала вы найдёте информацию о квалификации доктора и его достижениях, стоимости услуг, профессиональных навыках, месте приёма (частный кабинет или клиника).</p>
<p style=\"text-align: justify;\">Реальные отзывы пациентов, успевших побывать на приёме у врача и пройти лечение по предложенному курсу, расположены здесь же. Внимательно изучив данные, вы сможете выбрать специалиста, подходящего по всем личным предпочтениям. Некоторые врачи выезжают на дом. О возможности такой услуги и её цене вы узнаете, ознакомившись с личным профилем врача.</p>
<p style=\"text-align: justify;\">Записаться на приём к специалисту можно онлайн, позвонив по телефону, воспользовавшись услугой &laquo;Обратный звонок&raquo;. Запись ведётся в круглосуточном режиме. Оператор колл-центра в обязательном порядке свяжется с вами в ближайшее рабочее время, чтобы обсудить удобное время визита и прочие нюансы.</p>",NULL,NULL,0,"Аллерголога","Аллергологов","Аллергологи",NULL,0,1,1,"<p style=\"text-align: justify;\">Детский аллерголог &ndash; это специалист, который диагностирует, лечит и предотвращает аллергию и иммунологические расстройства.</p>
<h2>Какие проблемы помогает решить детский аллерголог?</h2>
<p style=\"text-align: justify;\">Дети нуждаются в помощи аллерголога во многих случаях, среди них следует выделить:</p>
<ul style=\"text-align: justify;\">
<li>детский диатез;</li>
<li>бронхиальную астму;</li>
<li>аллергический ринит и конъюнктивит;</li>
<li>аллергический риноконъюнктивит;</li>
<li>непереносимость некоторых медикаментов, продуктов питания, и укусов насекомых или пищевая аллергия;</li>
<li>острую крапивницу, хроническую крапивницу;</li>
<li>отёк Квинке;</li>
<li>атопический дерматит;</li>
<li>аллергический контактный дерматит;</li>
<li>анафилактический шок.</li>
</ul>
<h3 style=\"text-align: justify;\">Симптомы аллергии у детей</h3>
<p style=\"text-align: justify;\">Симптомы аллергии заметить нетрудно, но легко можно перепутать с признаками других заболеваний. К симптомам аллергии относятся чихание или кашель, слезотечение и отёчность глаз, сыпь или крапивница, боль в животе, судороги или тошнота после употребления определённых продуктов, отёк лица.</p>
<p style=\"text-align: justify;\">Чем раньше врач аллерголог диагностирует аллергию, тем быстрее улучшится качество жизни вашего ребёнка. У любого человека может возникнуть аллергия, но чаще у детей, чьи родители страдают от аллергии.</p>
<h3 style=\"text-align: justify;\">Какие обследования назначает детский аллерголог?</h3>
<p style=\"text-align: justify;\">Чтобы поставить точный диагноз и обеспечить эффективное лечение, детский аллерголог назначает:</p>
<ul style=\"text-align: justify;\">
<li>скарификационную пробу &ndash; анализ помогает выявить реакцию на аллерген у ребёнка на коже;</li>
<li>аппликационная кожная проба &ndash; это метод, который используют для диагностики контактного дерматита или других аллергических реакций;</li>
<li>исследование крови &ndash; один из самых быстрых и безопасных тестов на аллергию;</li>
<li>анализ на пищевую непереносимость.</li>
</ul>
<p style=\"text-align: justify;\">Современные диагностические методы отличаются исключительной точностью и позволяют получить достоверную информацию о том, какое именно вещество является аллергеном и каким образом оно попадает в организм.</p>
<h2 style=\"text-align: justify;\">Отзывы о детских аллергологах</h2>
<p style=\"text-align: justify;\">На сайте DOC.UA размещены реальные отзывы пациентов, которые помогут вам выбрать детского аллерголога по всей Украине. Ведь от правильного лечения зависит скорейшее выздоровление вашего ребёнка.</p>
<h2 style=\"text-align: justify;\">Поиск детского врача аллерголога через интернет</h2>
<p style=\"text-align: justify;\">При поиске квалифицированного специалиста стоит обратить внимание на его образование и на отзывы людей, которые уже были на приёме у данного доктора. На портале DOC.UA собраны анкеты лучших врачей Киева и всей Украины, что существенно облегчит ваш выбор. Также вы можете вызвать доктора на дом в удобный для вас день. Полный перечень детских и <a title=\"список взрослых аллергологов\" href=\"https://doc.ua/doctors/kiev/all/allergolog\">взрослых аллергологов</a> вы сможете найти на сайте.</p>","","Алерголог"
5,"Андролог","androlog",NULL,NULL,NULL,"<p style=\"text-align: justify;\">Андролог &mdash; врач, решающий проблемы сексуальной и репродуктивной функций у мужчин. Мужской врач может также лечить эндокринологические, дерматологические и венерические заболевания, если они связаны с гормональными расстройствами и половой сферой. Часто андролог работает согласованно с докторами смежных специальностей: урологом, дерматовенерологом, сексологом и репродуктологом.</p>
<h2 style=\"text-align: justify;\">Чем отличается андролог от уролога?</h2>
<p style=\"text-align: justify;\">И уролог, и андролог ведут приём мужчин, но первый консультирует также женщин с расстройствами мочевыведения. Андролог отличается ещё и тем, что занимается исключительно вопросами половой функции и не берётся за лечение мочевыделительной системы. К мужскому врачу обращаются за консультацией с отсутствием эрекции, признаками простатита, преждевременной эякуляцией, импотенцией, нарушениями гормонального статуса, мужским бесплодием, сексуальными расстройствами, косметическими дефектами половых органов. Есть специалисты, которые ведут приём сразу по двум направлениям: андролог-уролог, андролог-сексолог, андролог-эндокринолог.</p>
<h2 style=\"text-align: justify;\">Как проходит приём у андролога?</h2>
<p style=\"text-align: justify;\">Мужской врач начинает консультацию с расспроса об истории болезни, осматривает наружные половые органы и проверяет состояние лимфатических паховых узлов, яичек, полового члена, предстательной железы. Может проводить ректальную пальпацию предстательной железы, если пациент пришёл с жалобами на простатит.</p>
<p style=\"text-align: justify;\">Обычно первый приём заканчивается постановкой предварительного диагноза. Также во время первого визита андролог проводит сам или направляет мужчину на инструментальную диагностику органов малого таза, например УЗИ предстательной железы, мошонки. Если необходимо, врач направляет пациента на лабораторную диагностику:</p>
<ul style=\"text-align: justify;\">
<li>спермограмму;</li>
<li>анализ на гормональный статус;</li>
<li>анализ на выявление инфекций, передающихся преимущественно половым путём;</li>
<li>биохимический и клинический анализы крови.</li>
</ul>
<h3 style=\"text-align: justify;\">В каких случаях нужно идти к андрологу:</h3>
<ul style=\"text-align: justify;\">
<li>при слишком раннем или позднем начале половой жизни;</li>
<li>если появились женские половые признаки: тембр голоса, увеличение молочных желёз, рост волос как у женщины;</li>
<li>безрезультатные попытки зачать ребёнка (тогда к андрологу может обратиться супружеская пара);</li>
<li>с инфекциями половых органов;</li>
<li>при любых нарушениях половой функции;</li>
<li>при нарушении мочеиспускания (может быть связано с половой сферой);</li>
<li>при замедленном половом развитии у мальчиков;</li>
<li>с опухолями в области половых органов;</li>
<li>если психологически проявляется транссексуализм.</li>
</ul>
<h2 style=\"text-align: justify;\">Трансректальный осмотр</h2>
<p style=\"text-align: justify;\">Самый распространённый метод проверки мужского &nbsp;здоровья &mdash; трансректальный осмотр или же трансректальное УЗИ. Проводится оно так: мужчина ложится на бок в позе &laquo;эмбриона&raquo; с согнутыми в коленях ногами, прижимая руки к груди и врач вводит датчик в прямую кишку через анальное отверстие. Второй способ &mdash; пациент может опирается на согнутые в локтях руки и врач также вводит ультразвуковой прибор в анальное отверстие. Оба метода максимально безболезненны, дискомфорт сопоставим с обычным ректальным обследованием. Используется специальная вазелиновая смазка и прибор вводится на глубину около 6 см.</p>
<h3 style=\"text-align: justify;\">Посредством трансректальной диагностики, врач может установить:</h3>
<ul style=\"text-align: justify;\">
<li>простатит: острый или хронический;</li>
<li>осложнения воспалительного процесса: абсцессы;</li>
<li>воспаление семенных пузырьков;</li>
<li>воспаление придатков яичка;</li>
<li>аденому предстательной железы;</li>
<li>гиперплазию простаты;</li>
<li>рак простаты.</li>
</ul>
<h3 style=\"text-align: justify;\">Подготовка к трансректальному обследованию</h3>
<p style=\"text-align: justify;\">Обязательное условие подготовки к ТРУЗИ &mdash; пустота мочевого пузыря. Наполненный мочевой пузырь не даёт возможность андрологу рассмотреть простату. Также за 2-3 часа пациент самостоятельно ставит клизму и очищает кишечник. Для этого клизма наполняется 1,5 литрами воды комнатной температуры. Более удобный аналог &mdash; специальные микроклизмы или глицериновые свечки, которые можно найти в любой аптеке, но цены на них выше. После постановки клизмы нужно лежать на правом боку до появления естественных позывов. Перед походом на трансректальное УЗИ нужно провести обычные гигиенические процедуры.</p>
<p style=\"text-align: justify;\">Мужчинам после 40 лет стоит проводить не просто трансректальное обследование, а УЗИ с определением раково-эмбрионального антигена в крови (РЭА). Последнее относится к лабораторной диагностике и направление на неё даёт андролог.</p>
<h2 style=\"text-align: justify;\">Что ещё делает андролог во время консультации?</h2>
<p style=\"text-align: justify;\">Приём андролога проходит значительно проще чем того же гинеколога, что связано с расположением мужских половых органов. Однако и тут есть свои специфические процедуры.</p>
<p style=\"text-align: justify;\">Мужской врач &mdash; единственный специалист, который может проводить массаж простаты. Во время проведения процедуры повышается приток крови к половым органам и выводится патологическая, застывшая в железах сперма. Массаж прописывается для повышения уровня потенции, лечения простатита, &nbsp;восстановления эректильной функции. Также массаж по технологии, описанной мужским доктором может проводить дома сам пациент или его партнёрша в случае если регулярно посещать врача сложно или мужчина испытывает слишком высокий уровень дискомфорта в клинике.</p>
<h3 style=\"text-align: justify;\">Что ещё делает андролог во время приёма:</h3>
<ol style=\"text-align: justify;\">
<li>Измеряет артериальное давление. Иногда именно здесь кроется причина плохой сексуальной функции. Причём не обязательно виной этому низкое давление. Высокое давление, например, может быть следствием повышенных физических нагрузок и это негативно отражается на половой сфере.</li>
<li>Осмотр молочных желёз обязателен для обнаружения гинекомастии (чрезмерного роста молочных желёз у мужчин)</li>
<li>Измерение талии, вычисление нормальной массы тела и насколько отклонён от неё пациент. Повышенная масса тела часто свидетельствует о сбое в выработке тестостерона и возможной причине бесплодия.</li>
<li>Рост волос в интимных зонах. Лобковое оволосение, развивающееся по женскому типу или отсутствие его &mdash; знак андрогенной недостаточности.</li>
</ol>
<p style=\"text-align: justify;\">Не все эти процедуры обязательно выполняются во время приёма. Чаще всего, при отсутствии жалоб, если это приём взрослого пациента, врач ограничивается осмотром полового члена, яичек и пальцевым ректальным исследованием.</p>
<h2 style=\"text-align: justify;\">Что лечит андролог?</h2>
<p style=\"text-align: justify;\">В зависимости от заболевания мужской врач во время первой консультации может назначить хирургическое вмешательство, физиотерапию или таблетки. Чаще всего оперативное вмешательство идёт в ход в случаях доброкачественных опухолевых заболеваний. Из лекарств применяются: антибиотики, противовоспалительные и гормональные препараты.</p>
<h3 style=\"text-align: justify;\">Заболевания, которые лечит андролог:</h3>
<ul style=\"text-align: justify;\">
<li>Варикоцеле</li>
<li>Импотенция</li>
<li>Аденома простаты</li>
<li>Сексуальная дисфункция</li>
<li>Бесплодие</li>
<li>Мужской климакс</li>
<li>Онкология мужских половых органов</li>
<li>Заболевания, передающиеся половым путём</li>
<li>Аномалии развития мужских половых органов</li>
<li>Воспаления органов мужской половой системы</li>
</ul>
<p style=\"text-align: justify;\">Также андролог подбирает мужскую контрацепцию. Консультация андролога, не только по желанию пациента, а и по закону, необходима при принятии решения о смене пола.</p>
<h3 style=\"text-align: justify;\">Возраст, в котором нужно обязательно посетить андролога:</h3>
<ul style=\"text-align: justify;\">
<li>Первый визит &mdash; 1-3 месяц после рождения</li>
<li>3 года</li>
<li>6 лет</li>
<li>9 лет</li>
<li>12-14 лет</li>
<li>15-18 лет &mdash; ежегодные визиты</li>
<li>С 40 лет &mdash; каждые полгода</li>
</ul>
<h2 style=\"text-align: justify;\">Чем занимается детский андролог?</h2>
<p style=\"text-align: justify;\">К детскому андрологу обращаются в период начала полового созревания мальчика. Консультативный приём ребят младше 15 лет проводится обязательно в присутствии родителей. Детей нужно готовить к визиту в кабинет к урологу, обязательно объяснять, что доктор будет делать во время приёма.</p>
<p style=\"text-align: justify;\">Наиболее часто андролог принимает детей подросткового возраста с такими жалобами как: сексуальная тревожность, страх перед первой близостью, недовольство размером полового члена, преждевременным или отсутствующим половым развитием. 12-15 лет &mdash; ранний срок для визита к сексологу, потому именно андролог берёт на себя решение таких проблем у юношей.</p>
<p style=\"text-align: justify;\">Хороший врач настаивает на полноценном осмотре мальчика, потому что именно в таком возрасте можно узнать, правильно ли формируется мужское тело.</p>
